supplierId,partId,partName,rate
4e39c73c-cd95-40bb-9147-dd59a314e460,2d3dd4eb-3ca5-4ad8-a475-c838a2046ddd,Air Filters,10.77
4e39c73c-cd95-40bb-9147-dd59a314e460,7c9d33c8-4c9e-41d8-87c8-ae9c58410e55,Oil Filters,5.02
4e39c73c-cd95-40bb-9147-dd59a314e460,b8a3fc4b-2e5a-4d52-a41e-f0e07ea157c1,Spark Plugs,8.52
4e39c73c-cd95-40bb-9147-dd59a314e460,253cb47b-d1fb-40c5-80bc-caf21e6f4855,Brake Pads,29.4
4e39c73c-cd95-40bb-9147-dd59a314e460,92b6f3d4-1d00-486b-96be-e852b7332927,Batteries,62.36
6f0b2f85-1b47-481f-b1ce-1efb575ef911,d9afae0e-04ce-4787-a6b9-0e2dbf7bf16d,Air Filters,12.74
6f0b2f85-1b47-481f-b1ce-1efb575ef911,60afb56d-0c68-4c2a-85b8-4f308f50eb9d,Oil Filters,10.89
6f0b2f85-1b47-481f-b1ce-1efb575ef911,20367f10-50af-43d8-ab1a-28155077bc20,Spark Plugs,9.27
6f0b2f85-1b47-481f-b1ce-1efb575ef911,08b6c0d1-7bbe-4ec8-8ca1-e944b187e062,Brake Pads,25.57
6f0b2f85-1b47-481f-b1ce-1efb575ef911,d02935ce-ffe2-44fa-97d2-b2631ca07796,Batteries,65.92
7151912f-78c6-4e92-8a0a-c22d1cf5182a,bbb0bf2d-d98b-4d17-b7a3-fd6f4368e0a8,Air Filters,11.29
7151912f-78c6-4e92-8a0a-c22d1cf5182a,83ef2882-bc61-4971-9d9e-6e5213e0eb43,Oil Filters,10.68
7151912f-78c6-4e92-8a0a-c22d1cf5182a,c52b7e42-7185-4c41-a5a4-7de2daa834fe,Spark Plugs,8.1
7151912f-78c6-4e92-8a0a-c22d1cf5182a,f02050b2-234a-46bf-bd32-970f8188f0ac,Brake Pads,28.04
7151912f-78c6-4e92-8a0a-c22d1cf5182a,bbbcbdc9-a614-42f5-ab73-93c6da6fe116,Batteries,69.16
ddc4895c-0c9c-42d8-967a-7bab0bcd826f,e038c81f-c7c9-45fb-8a5a-c93f596353ae,Air Filters,17.13
ddc4895c-0c9c-42d8-967a-7bab0bcd826f,0249a6b9-5bd1-44f5-ba20-119802bb2d57,Oil Filters,8.95
ddc4895c-0c9c-42d8-967a-7bab0bcd826f,13d81a35-acb9-47da-b273-fdd3135ee0d8,Spark Plugs,4.58
ddc4895c-0c9c-42d8-967a-7bab0bcd826f,24bd02d7-93ae-4c12-927c-ba1a8c68a03e,Brake Pads,27.35
ddc4895c-0c9c-42d8-967a-7bab0bcd826f,d7be68c0-17f7-4807-b645-f7e9b45e95e8,Batteries,53.17
99ef18d5-20f6-41b0-8eab-48c8c89b7b4f,a1371144-c0fd-45eb-8c5a-5a15c153bf4e,Air Filters,11.51
99ef18d5-20f6-41b0-8eab-48c8c89b7b4f,d13cf8a8-4d3e-4667-98da-89f1ba6ce7c1,Oil Filters,14.48
99ef18d5-20f6-41b0-8eab-48c8c89b7b4f,ea2cfcca-84b0-4c68-94af-e1be6a3bd67c,Spark Plugs,3.79
99ef18d5-20f6-41b0-8eab-48c8c89b7b4f,b81f6569-fa29-4e1e-b603-d3ccf8e167e5,Brake Pads,38.12
99ef18d5-20f6-41b0-8eab-48c8c89b7b4f,eb8ea573-2a62-4d00-bb7e-1982d7b9a454,Batteries,73.77
e1e026fc-f7ec-49ba-a21a-8145aecc08b9,dbcaa63e-994f-4163-8502-02cd38db1358,Air Filters,17.56
e1e026fc-f7ec-49ba-a21a-8145aecc08b9,58a4f799-cb61-4172-94bb-53d1a7e40f04,Oil Filters,9.53
e1e026fc-f7ec-49ba-a21a-8145aecc08b9,06643d9a-80ba-46af-a1f4-5bfa6f8406b0,Spark Plugs,5.17
e1e026fc-f7ec-49ba-a21a-8145aecc08b9,dfc808b3-65f5-4ae8-8ba8-2fb304cf050b,Brake Pads,25.48
e1e026fc-f7ec-49ba-a21a-8145aecc08b9,dd63c0b1-3887-4497-8f29-4ab8f5dd539f,Batteries,66.8
57ed64bb-87c5-4ba9-a40d-7309a88f17fd,458370d8-b5c6-4c04-8df2-3cba6099ae0a,Air Filters,19.53
57ed64bb-87c5-4ba9-a40d-7309a88f17fd,fc975cd5-e301-4371-9e0d-09d60a0eae3e,Oil Filters,10.75
57ed64bb-87c5-4ba9-a40d-7309a88f17fd,af2bc445-b962-4e4e-9b0c-9f1a905b5bff,Spark Plugs,5.39
57ed64bb-87c5-4ba9-a40d-7309a88f17fd,589c30ff-07f7-4678-8a6b-ec364260f251,Brake Pads,30.43
57ed64bb-87c5-4ba9-a40d-7309a88f17fd,bd6d22ab-1616-4a3e-a823-231b605eff87,Batteries,85.7
4f7a7b81-c522-47db-bf19-379c0eceafdc,3de482d8-fa50-44f8-8f1b-aba56d876d2f,Air Filters,12.94
4f7a7b81-c522-47db-bf19-379c0eceafdc,74c579fb-df41-48ac-9097-63c53b8829ea,Oil Filters,5.04
4f7a7b81-c522-47db-bf19-379c0eceafdc,233d8643-47e3-491d-85db-114e36773900,Spark Plugs,6.68
4f7a7b81-c522-47db-bf19-379c0eceafdc,25277d52-92e3-40e3-b324-350e2a59bb48,Brake Pads,33.51
4f7a7b81-c522-47db-bf19-379c0eceafdc,f1b5c134-c2fa-419c-8c85-09ab81eba55d,Batteries,67.46
cbb18357-f7d7-41b8-bd3d-698e43a2d169,37997f92-18c2-42b5-a2c3-31af77f62837,Air Filters,10.9
cbb18357-f7d7-41b8-bd3d-698e43a2d169,c1fd4a36-4765-4f22-8444-a746b3307555,Oil Filters,10.53
cbb18357-f7d7-41b8-bd3d-698e43a2d169,0b1ce69e-6c97-4ceb-87a6-cde8f01ab918,Spark Plugs,6.59
cbb18357-f7d7-41b8-bd3d-698e43a2d169,16cc2452-fdc3-4fd3-86a0-bcced8e6fd6d,Brake Pads,36.37
